policy_A,policy_B,acc_A,acc_B,delta,ci_lo,ci_hi,p,sig
AdaScale-v2,Full-10(fused),0.6415426251691475,0.6416779431664411,-0.00013531799729364006,-0.0006765899864682003,0.00027063599458728013,0.774,False
AdaScale-v2,Single-10,0.6415426251691475,0.6196211096075778,0.02192151556156969,0.015967523680649527,0.02787550744248985,0.0,True
AdaScale-v2,Fixed-5,0.6415426251691475,0.6136671177266576,0.02787550744248985,0.020838971583220567,0.034912043301759135,0.0,True
AdaScale-v2,Fixed-7,0.6415426251691475,0.6365358592692828,0.005006765899864682,0.0,0.010148849797023005,0.0534,False
Full-10(fused),Single-10,0.6416779431664411,0.6196211096075778,0.02205683355886333,0.016102841677943167,0.02801082543978349,0.0,True
Full-10(fused),Fixed-5,0.6416779431664411,0.6136671177266576,0.02801082543978349,0.02097428958051421,0.034912043301759135,0.0,True
Full-10(fused),Fixed-7,0.6416779431664411,0.6365358592692828,0.005142083897158322,0.00013531799729364006,0.010284167794316644,0.0498,True
Single-10,Fixed-5,0.6196211096075778,0.6136671177266576,0.005953991880920162,-0.002709742895805139,0.014749661705006765,0.1822,False
Single-10,Fixed-7,0.6196211096075778,0.6365358592692828,-0.016914749661705007,-0.02449255751014885,-0.009201623815967524,0.0,True
Fixed-5,Fixed-7,0.6136671177266576,0.6365358592692828,-0.02286874154262517,-0.028281461434370773,-0.017456021650879568,0.0,True
